,iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,tests_units,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k
17051,USA,United States,2020-03-20,14250,4835,150,0,43.051,14.607000000000001,0.45299999999999996,0.0,160413.0,36155.0,0.485,0.109,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17052,USA,United States,2020-03-21,19624,5374,260,110,59.287,16.236,0.785,0.332,205167.0,44754.0,0.62,0.135,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17053,USA,United States,2020-03-22,26747,7123,340,80,80.806,21.519000000000002,1.0270000000000001,0.242,249769.0,44602.0,0.755,0.135,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17054,USA,United States,2020-03-23,35206,8459,471,131,106.36200000000001,25.555999999999997,1.423,0.396,306904.0,57135.0,0.927,0.17300000000000001,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17055,USA,United States,2020-03-24,46442,11236,590,119,140.30700000000002,33.945,1.7819999999999998,0.36,375517.0,68613.0,1.1340000000000001,0.207,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17056,USA,United States,2020-03-25,55231,8789,801,211,166.86,26.553,2.42,0.637,459004.0,83487.0,1.3869999999999998,0.252,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17057,USA,United States,2020-03-26,69194,13963,1050,249,209.044,42.184,3.1719999999999997,0.752,559468.0,100464.0,1.69,0.304,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17058,USA,United States,2020-03-27,85991,16797,1296,246,259.789,50.746,3.915,0.743,662538.0,103070.0,2.002,0.311,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17059,USA,United States,2020-03-28,104686,18695,1707,411,316.269,56.48,5.157,1.242,766904.0,104366.0,2.3169999999999997,0.315,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17060,USA,United States,2020-03-29,124665,19979,2191,484,376.62800000000004,60.358999999999995,6.619,1.462,855684.0,88780.0,2.585,0.268,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17061,USA,United States,2020-03-30,143025,18360,2509,318,432.096,55.468,7.58,0.961,973134.0,117450.0,2.94,0.355,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17062,USA,United States,2020-03-31,164620,21595,3170,661,497.337,65.241,9.577,1.9969999999999999,1084228.0,111094.0,3.2760000000000002,0.336,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17063,USA,United States,2020-04-01,189618,24998,4079,909,572.859,75.52199999999999,12.323,2.7460000000000004,1191810.0,107582.0,3.6010000000000004,0.325,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17064,USA,United States,2020-04-02,216721,27103,5138,1059,654.741,81.882,15.523,3.199,1309833.0,118023.0,3.957,0.35700000000000004,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17065,USA,United States,2020-04-03,245540,28819,6053,915,741.807,87.066,18.287,2.764,1442065.0,132232.0,4.357,0.39899999999999997,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17066,USA,United States,2020-04-04,277965,32425,7157,1104,839.7669999999999,97.96,21.622,3.335,1670862.0,228797.0,5.048,0.691,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17067,USA,United States,2020-04-05,312237,34272,8501,1344,943.307,103.54,25.683000000000003,4.06,1790521.0,119659.0,5.409,0.36200000000000004,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17068,USA,United States,2020-04-06,337635,25398,9647,1146,1020.0369999999999,76.73100000000001,29.145,3.4619999999999997,1941251.0,150730.0,5.865,0.455,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17069,USA,United States,2020-04-07,368196,30561,10989,1342,1112.366,92.329,33.199,4.053999999999999,2093996.0,152745.0,6.3260000000000005,0.461,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17070,USA,United States,2020-04-08,398809,30613,12895,1906,1204.851,92.486,38.957,5.757999999999999,2238429.0,144433.0,6.763,0.436,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17071,USA,United States,2020-04-09,432132,33323,14817,1922,1305.524,100.67299999999999,44.763999999999996,5.807,2404262.0,165833.0,7.263999999999999,0.501,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17072,USA,United States,2020-04-10,466033,33901,16690,1873,1407.943,102.419,50.423,5.659,2562049.0,157787.0,7.74,0.47700000000000004,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17073,USA,United States,2020-04-11,501560,35527,18777,2087,1515.275,107.331,56.728,6.305,2701760.0,139711.0,8.162,0.42200000000000004,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
17074,USA,United States,2020-04-12,529951,28391,20608,1831,1601.0479999999998,85.773,62.25899999999999,5.532,2842322.0,140562.0,8.587,0.425,inconsistent units (COVID Tracking Project),331002647.0,35.608000000000004,38.3,15.413,9.732000000000001,54225.445999999996,1.2,151.089,10.79,19.1,24.6,,2.77
